date,retweets,favorites,text,permalink
08/11/18,0,0,Hello Christina and thank you for the screenshot. There was an earlier R train that was removed from service at City Hall for a mechanical problem preventing further operation of the train in passenger service causing the gap in service.^JG,https://twitter.com/NYCTSubway/status/1028469291568558080
08/11/18,0,0,Hi Shigeki! There was a delay in service because a train with mechanical problems was taken out of service. Service has since resumed. Were you able to board your train? ^DJP,https://twitter.com/NYCTSubway/status/1028458630583123968
08/11/18,0,0,"Hi, Reynaldi. The train's brakes don't activate accidentally, but rather automatically. This happens for various reasons. It might seem like it's posted a lot more because we previously posted these as mechanical problems. (1/2) ^JL",https://twitter.com/NYCTSubway/status/1028269554403823616
08/10/18,0,0,Good evening. There is service changes and delays on the L line because of a train with mechanical problems at Sutter Av. For details see http://mta.info ^GES,https://twitter.com/NYCTSubway/status/1028113685309468672
08/10/18,3,5,Update: Some Canarsie-bound L trains end at Broadway Junction because of a train with mechanical problems at Broadway Junction. Expect delays in both directions.,https://twitter.com/NYCTSubway/status/1028112537647284224
08/10/18,3,9,L trains have service changes and delays because of a train with mechanical problems at Sutter Av.,https://twitter.com/NYCTSubway/status/1028112072486383616
08/10/18,0,0,"Good evening LaToya, There was a train experiencing mechanical problems at High St. We had to reroute service while the train crew investigated the cause. A service has since resumed. We appreciate your patience during this time. ^DJP",https://twitter.com/NYCTSubway/status/1028036541237669888
08/10/18,3,2,Southbound 4 trains are running with delays while we remove a train from service with mechanical problems at 149 St-Grand Concourse.,https://twitter.com/NYCTSubway/status/1027865994470014977
08/10/18,4,6,Southbound A trains end at Chambers St because of a work train with mechanical problems at Chambers St.,https://twitter.com/NYCTSubway/status/1027768163080069120
08/09/18,4,6,L trains are running with delays in both directions because of a train with mechanical problems at 6 Av.,https://twitter.com/NYCTSubway/status/1027725082133753856
08/09/18,0,0,Good Evening. There is a train with mechanical problems at 6 Av causing service changes and delays. We are updating the channels at this time. ^JZ,https://twitter.com/NYCTSubway/status/1027724807989800960
08/09/18,0,0,Good Evening. There is a train with mechanical problems at 6 Av causing delays and service changes at this time. We are updating our channels at this time. ^JZ,https://twitter.com/NYCTSubway/status/1027724550623191041
08/09/18,0,0,Good Evening. There is a train with mechanical problems at Sutphin Blvd causing delays and service change. We are in the process of updating our channels. ^JZ,https://twitter.com/NYCTSubway/status/1027698347715559426
08/09/18,0,0,Good Evening. There was a train with mechanical problems at this location which was issuing smoke. Supervision checked the train and moved it out of the station. ^JZ,https://twitter.com/NYCTSubway/status/1027692106658312193
08/09/18,3,2,Northbound A trains are running local from Canal St to 59 St because of a train with mechanical problems at 42 St.,https://twitter.com/NYCTSubway/status/1027688632159744000
08/09/18,0,0,Good Afternoon. There was an earlier incident involving a train with mechanical problems at 86 St. We do apologize for the inconvenience. ^JZ,https://twitter.com/NYCTSubway/status/1027661694695366662
